一批	yi1 pi1
一技之長	yi1 ji4 zhi1 chang2
一技在身	yi1 ji4 zai4 shen1
一把	yi1 ba3
一把子	yi1 ba3 zi5
一把尿	yi1 ba3 niao4
一把屎	yi1 ba3 shi3
一把手	yi1 ba3 shou3
一把抓	yi1 ba3 zhua1
一把死拿兒	yi1 ba3 si3 nar2
一把罩	yi1 ba3 zhao4
一把辛酸淚	yi1 ba3 xin1 suan1 lei4
一把鼻涕	yi1 ba3 bi2 ti4
一抔土	yi1 pou2 tu3
一投	yi1 tou2
一折	yi1 zhe2
一折一磨	yi1 zhe2 yi1 mo2
一折八扣	yi1 zhe2 ba1 kou4
一抹	yi1 mo3
一抿子	yi1 min3 zi5
一拋	yi1 pao1
一拍即合	yi1 pai1 ji2 he2
一拐一拐	yi1 guai3 yi1 guai3
一拳	yi1 quan2
一拳柱定	yi1 quan2 zhu4 ding4
一捧雪	yi1 peng3 xue3
一捻	yi1 nian3
一捻紅	yi1 nian3 hong2
一掃	yi1 sao3
一掃而光	yi1 sao3 er2 guang1
一掃而空	yi1 sao3 er2 kong1
一探究竟	yi1 tan4 jiu4 jing4
一揆	yi1 kui2
一揮而就	yi1 hui1 er2 jiu4
一揮而成	yi1 hui1 er2 cheng2
一搖一擺	yi1 yao2 yi1 bai3
一搖三擺	yi1 yao2 san1 bai3
一搖三晃	yi1 yao2 san1 huang4
一搭	yi1 da1
一搭一唱	yi1 da1 yi1 chang4
一搭兩用	yi1 da1 liang3 yong4
一摑一掌血	yi1 guo2 yi1 zhang3 xie3
一撇	yi1 pie3
一撥	yi1 bo1
一擁而上	yi1 yong3 er2 shang4
一擁而進	yi1 yong3 er2 jin4
一操	yi1 cao1
一擲千金	yi1 zhi2 qian1 jin1
一擲百萬	yi1 zhi2 bai3 wan4
一攪果	yi1 jiao3 guo3
一攬包收	yi1 lan3 bao1 shou1
一攬子	yi1 lan3 zi5
一敗塗地	yi1 bai4 tu2 di4
一整天	yi1 zheng3 tian1
一文	yi1 wen2
一文不值	yi1 wen2 bu4 zhi2
一文不名	yi1 wen2 bu4 ming2
一文如命	yi1 wen2 ru2 ming4
一文錢逼死英雄漢	yi1 wen2 qian2 bi1 si3 ying1 xiong2 han4
一斑	yi1 ban1
一斗米養個恩人	yi1 dou3 mi3 yang3 ge5 en1 ren2
一斛涼州	yi1 hu2 liang2 zhou1
一新耳目	yi1 xin1 er3 mu4
一方	yi1 fang1
一方面	yi1 fang1 mian4
一旁	yi1 pang2
一日	yi1 ri4
一日三秋	yi1 ri4 san1 qiu1
一日不見	yi1 ri4 bu4 jian4
一日之計在於晨	yi1 ri4 zhi1 ji4 zai4 yu2 chen2
一日之長	yi1 ri4 zhi1 chang2
一日之長	yi1 ri4 zhi1 zhang3
一日之雅	yi1 ri4 zhi1 ya3
一日兩	yi1 ri4 liang3
一日千里	yi1 ri4 qian1 li3
一日叫娘	yi1 ri4 jiao4 niang2
一日夫妻百日恩	yi1 ri4 fu1 qi1 bai3 ri4 en1
一日家	yi1 ri4 jia1
一日爲師	yi1 ri4 wei2 shi1
一日萬機	yi1 ri4 wan4 ji1
一旦	yi1 dan4
一旦無常萬事休	yi1 dan4 wu2 chang2 wan4 shi4 xiu1
一早	yi1 zao3
一早起	yi1 zao3 qi3
一早起了	yi1 zao3 qi3 le5
一星兒	yi1 xingr1
一星半點兒	yi4 xing1 ban4 diar3
一星子	yi1 xing1 zi5
一星星	yi1 xing1 xing1
一昧	yi1 mei4
一昨	yi1 zuo2
一是一	yi1 shi4 yi1
一時	yi1 shi2
一時一刻	yi1 shi2 yi1 ke4
一時不等一時	yi1 shi2 bu4 deng3 yi1 shi2
一時之急	yi1 shi2 zhi1 ji2
一時之秀	yi1 shi2 zhi1 xiu4
一時之選	yi1 shi2 zhi1 xuan3
一時之間	yi1 shi2 zhi1 jian1
一時半刻	yi1 shi2 ban4 ke4
一時半霎	yi1 shi2 ban4 sha4
一時糊塗	yi1 shi2 hu2 tu2
一時間	yi1 shi2 jian1
一晃	yi1 huang3
一晃	yi1 huang4
一晃眼	yi1 huang3 yan3
一晌	yi1 shang3
一景兒	yi1 jingr3
一暴十寒	yi1 pu4 shi2 han2
一曝十寒	yi1 pu4 shi2 han2
一曲	yi1 qu1
一曲	yi1 qu3
一曲千金	yi1 qu3 qian1 jin1
一曲陽關	yi1 qu3 yang2 guan1
一替	yi1 ti4
一替一句	yi1 ti4 yi1 ju4
一會	yi1 hui3
一會兒	yi4 huer3
一會子	yi1 hui3 zi5
一會家	yi1 hui3 jia5
一月	yi1 yue4
一望	yi1 wang4
一望無垠	yi1 wang4 wu2 yin2
一望無邊	yi1 wang4 wu2 bian1
一望無際	yi1 wang4 wu2 ji4
一望而知	yi1 wang4 er2 zhi1
一朝	yi1 zhao1
一朝一夕	yi1 zhao1 yi1 xi4
一朝天子一朝臣	yi1 chao2 tian1 zi3 yi1 chao2 chen2
一朝權在手	yi1 zhao1 quan2 zai4 shou3
一朝被蛇咬	yi1 zhao1 bei4 she2 yao3
一木難扶	yi1 mu4 nan2 fu2
一木難支	yi1 mu4 nan2 zhi1
一本	yi1 ben3
一本初衷	yi1 ben3 chu1 zhong1
一本正經	yi1 ben3 zheng4 jing1
一本萬利	yi1 ben3 wan4 li4
一朵花	yi1 duo3 hua1
一朵鮮花插在牛糞上	yi1 duo3 xian1 hua1 cha1 zai4 niu2 fen4 shang4
一板一眼	yi1 ban3 yi1 yan3
一板三眼	yi1 ban3 san1 yan3
一枕黃粱	yi1 zhen3 huang2 liang2
一枝春	yi1 zhi1 chun1
一枝棲	yi1 zhi1 qi1
一枝獨秀	yi1 zhi1 du2 xiu4
一枝花	yi1 zhi1 hua1
一枝草	yi1 zhi1 cao3
一架子	yi1 jia4 zi5
一柱擎天	yi1 zhu4 qing2 tian1
一根肚腸到底	yi1 gen1 du4 chang2 dao4 di3
一條心	yi1 tiao2 xin1
一條提	yi1 tiao2 ti2
一條腸子	yi1 tiao2 chang2 zi5
一條腿兒	yi4 tiao2 tuer3
一條藤兒	yi1 tiao2 tengr2
一條跳板上走路	yi1 tiao2 tiao4 ban3 shang4 zou3 lu4
一條道兒走到黑	yi1 tiao2 daor4 zou3 dao4 hei1
一條鞭	yi1 tiao2 bian1
一條龍	yi1 tiao2 long2
一棍子打死	yi1 gun4 zi5 da3 si3
一棍打一船	yi1 gun4 da3 yi1 chuan2
一棒一條痕	yi1 bang4 yi1 tiao2 hen2
一概	yi1 gai4
一概抹殺	yi1 gai4 mo3 sha1
一概而言	yi1 gai4 er2 yan2
一概而論	yi1 gai4 er2 lun4
一模一樣	yi1 mo2 yi1 yang4
一樣	yi1 yang4
