䰖兒	zuar3
拴扣兒	shuan1 kour4
拿刀靶兒	na2 dao1 bar3
拿印把兒	na2 yin4 bar3
拿岔兒	na2 char4
拿着腔兒	na2 zhe5 qiangr1
拿草棍兒戳老虎的鼻子眼兒	na2 cao3 guer4 chuo1 lao3 hu3 de5 bi2 zi5 yar3
指甲套兒	zhi3 jia5 taor4
指頭肚兒	zhi3 tou5 dur4
按檔兒	an4 dangr3
挑刺兒	tiao1 cer4
挑字眼兒	tiao1 zi4 yar3
挑斜岔兒	tiao3 xie2 char4
挨人兒	ai1 rer2
挨個兒	ai1 ger4
挨挨兒	ai1 ar5
挨肩兒	ai1 jiar1
挨親兒	ai1 qier1
挪窩兒	nuo2 wor1
挪騷窩兒	nuo2 sao1 wor1
挺起腰板兒	ting3 qi3 yao1 bar3
挽手兒	wan3 shour3
挾生兒	xie2 shengr1
捉對兒廝打	zhuo1 duir4 si1 da3
捎帶腳兒	shao1 dai4 jiaor3
捏出水兒來的	nie1 chu1 shuer3 lai2 de5
捏殺蠅子兒是的	nie1 sha1 ying2 zer3 shi4 de5
捏錯兒	nie1 cuor4
捻兒	niar3
掂過兒	dian1 guor4
掉價兒	diao4 jiar4
掉過兒	diao4 guor4
掌勺兒的	zhang3 shaor2 de5
掐尖兒	qia1 jiar1
排頭兒	pai2 tour2
掛味兒	gua4 wer4
掛絡兒	gua4 laor4
掛落兒	gua4 luor4
掛鏡兒	gua4 jingr4
探爪兒	tan4 zhuar3
接碴兒	jie1 char2
接聲兒	jie1 shengr1
接頭兒	jie1 tour2
接骨眼兒	jie1 gu5 yar3
推乾淨兒	tui1 gan1 jingr4
掰文兒	bai1 wer2
揀高枝兒飛	jian3 gao1 zher1 fei1
描樣兒	miao2 yangr4
提根兒	ti2 ger1
插關兒	cha1 guar5
揣手兒	chuai3 shour3
揭蓋兒	jie1 gar4
搋手兒	chuai1 shour3
搖兒晃兒的	yaor2 huangr4 de5
搖車兒裏的爺爺	yao2 cher1 li3 de5 ye2 ye5 zhu3
搖鈴兒的	yao2 lingr2 de5
搠包兒	shuo4 baor1
搭伴	da1 bar4
搭分兒	da1 fer4
搭岔兒	da1 char4
搭碴兒	da1 char2
搭腳兒	da1 jiaor3
搽穰捲兒	cha2 rang3 juar3
搿着口兒	ge2 zhe5 kour3
摁扣兒	en4 kour4
摟包兒	lou1 baor1
摟包兒匠	lou1 baor1 jiang4
摳字眼兒	kou1 zi4 yar3
摳門兒	kou1 mer2
摸不着門兒	mo1 bu5 zhao2 mer2
摸門兒	mo1 mer2
撇杖兒	pie1 zhangr4
撇油兒	pie1 your2
撈兒	laor1
撐硬船兒	cheng1 ying4 chuar2
撚靶兒	nian3 bar3
撥火兒	bo1 huor3
撥瞪兒	bo1 dengr4
撥魚兒	bo1 yuer2
撩兒敲兒	liaor2 qiaor1
撩邊兒	liao1 biar1
撬一頭兒	qiao4 yi1 tour2
撲兒	pur1
撲虎兒	pu1 hur3
撾子兒	zhua1 zir3
擋橫兒	dang3 hengr4
擔兒	dar4
擦卓兒	ca1 zhuor1
擦黑兒	ca1 heir1
擱心眼兒	ge1 xin1 yar3
擺攤兒	bai3 tar1
擺設兒	bai3 sher5
擺請兒	bai3 qingr3
擺譜兒	bai3 pur3
擺雲鑼兒	bai3 yun2 luor2
攔門牆兒	lan2 men2 qiangr2
攛鼓兒	cuan1 gur3
攢拌兒	cuan2 bar4
攢餡兒	cuan2 xiar4
攪絲兒	jiao3 ser1
攬活兒	lan3 huor2
支嘴兒	zhi1 zuer3
支爐兒	zhi1 lur2
改腔兒	gai3 qiangr1
放了屁兒卻使手掩	fang4 le5 pier4 que4 shi3 shou3 yan3
放小菜兒	fang4 xiao3 car4
放屁崩坑兒	fang4 pi4 beng1 kengr1
放慢線兒	fang4 man4 xiar4
放桄兒	fang4 guangr4
放花兒	fang4 huar1
故故由兒	gu4 gu5 your2
敞口兒	chang3 kour3
敞笑兒	chang3 xiaor4
敞開兒	chang3 kar1
散散兒	san4 sar4
敲鏝兒	qiao1 mar4
敲鑼邊兒	qiao1 luo2 biar1
數數兒	shu3 shur4
文武挑兒	wen2 wu3 tiaor1
料豆兒	liao4 dour4
新出土兒	xin1 chu1 tur3
